u,i,ts,label,idx
61,185,0.0,1,233
61,185,0.0,1,234
61,20,0.0,1,235
153,298,0.0,1,236
153,24,0.0,1,237
153,1,0.0,1,238
153,482,0.0,1,239
153,482,0.0,1,240
153,234,0.0,1,241
153,230,0.0,1,242
153,125,0.0,1,243
153,1,0.0,1,244
153,298,0.0,1,245
153,134,0.0,1,246
153,281,0.0,1,247
153,30,0.0,1,248
153,281,0.0,1,249
153,281,0.0,1,250
153,298,0.0,1,251
153,230,0.0,1,252
153,1,0.0,1,253
153,91,0.0,1,254
153,281,0.0,1,255
153,230,0.0,1,256
153,230,0.0,1,257
153,230,0.0,1,258
117,116,0.0,1,259
117,116,0.0,1,260
117,36,0.0,1,261
117,333,0.0,3,262
469,559,0.0,1,263
185,9,0.0,1,264
185,117,0.0,1,265
185,20,0.0,1,266
185,9,0.0,1,267
185,20,0.0,1,268
185,216,0.0,1,269
185,9,0.0,1,270
185,165,0.0,1,271
185,20,0.0,1,272
185,86,0.0,1,273
185,20,0.0,1,274
185,115,0.0,1,275
185,238,0.0,1,276
185,7,0.0,1,277
185,9,0.0,1,278
185,23,0.0,1,279
185,9,0.0,1,280
185,216,0.0,1,281
185,216,0.0,1,282
185,117,0.0,1,283
185,7,0.0,1,284
185,36,0.0,1,285
185,216,0.0,1,286
185,9,0.0,1,287
185,216,0.0,1,288
185,20,0.0,1,289
185,20,0.0,1,290
185,20,0.0,1,291
185,78,0.0,1,292
185,9,0.0,1,293
185,36,0.0,1,294
185,20,0.0,1,295
185,238,0.0,1,296
185,20,0.0,1,297
185,20,0.0,1,298
185,117,0.0,1,299
185,7,0.0,1,300
185,216,0.0,1,301
185,20,0.0,1,302
185,9,0.0,1,303
185,9,0.0,1,304
185,116,0.0,1,305
185,116,0.0,1,306
185,36,0.0,1,307
185,36,0.0,1,308
185,20,0.0,1,309
185,165,0.0,1,310
185,216,0.0,1,311
185,7,0.0,1,312
185,20,0.0,1,313
185,216,0.0,1,314
185,216,0.0,1,315
185,9,0.0,1,316
185,20,0.0,1,317
185,165,0.0,1,318
185,9,0.0,1,319
185,7,0.0,1,320
185,118,0.0,1,321
185,449,0.0,1,322
185,36,0.0,1,323
185,20,0.0,1,324
185,20,0.0,1,325
185,20,0.0,1,326
185,7,0.0,1,327
185,20,0.0,1,328
185,20,0.0,1,329
185,36,0.0,1,330
185,328,0.0,1,331
185,20,0.0,1,332
185,7,0.0,1,333
185,363,0.0,1,334
185,7,0.0,1,335
185,20,0.0,1,336
185,20,0.0,1,337
185,165,0.0,1,338
185,109,0.0,1,339
185,165,0.0,1,340
185,7,0.0,1,341
185,20,0.0,1,342
