u,i,ts,label,idx
1,3,0.0,3,1
1,3,0.0,3,2
7,7,0.0,1,3
7,7,0.0,3,4
7,3,0.0,3,5
1,4,0.0,1,6
3,7,0.0,1,7
2,2,0.0,3,8
2,2,0.0,3,9
2,2,0.0,3,10
2,2,0.0,1,11
2,2,0.0,1,12
2,2,0.0,1,13
2,3,0.0,1,14
2,3,0.0,1,15
2,2,0.0,1,16
2,2,0.0,1,17
4,4,0.0,1,18
4,4,0.0,1,19
4,4,0.0,1,20
4,4,0.0,1,21
4,4,0.0,1,22
4,4,0.0,1,23
4,4,0.0,1,24
4,4,0.0,1,25
4,2,0.0,1,26
4,4,0.0,1,27
4,4,0.0,1,28
4,4,0.0,1,29
4,4,0.0,1,30
4,4,0.0,1,31
4,4,0.0,1,32
4,4,0.0,1,33
4,4,0.0,1,34
4,4,0.0,1,35
4,4,0.0,1,36
4,4,0.0,1,37
4,4,0.0,1,38
4,4,0.0,1,39
4,4,0.0,1,40
4,4,0.0,1,41
4,4,0.0,1,42
4,4,0.0,1,43
4,4,0.0,1,44
4,4,0.0,1,45
4,4,0.0,1,46
4,4,0.0,1,47
4,4,0.0,1,48
4,4,0.0,1,49
4,4,0.0,1,50
4,4,0.0,1,51
4,4,0.0,1,52
4,4,0.0,1,53
4,4,0.0,1,54
4,4,0.0,1,55
4,4,0.0,1,56
4,4,0.0,1,57
4,4,0.0,1,58
4,4,0.0,1,59
4,4,0.0,1,60
4,4,0.0,1,61
4,4,0.0,1,62
4,4,0.0,1,63
4,4,0.0,1,64
4,4,0.0,1,65
4,4,0.0,1,66
4,4,0.0,1,67
4,4,0.0,1,68
4,4,0.0,1,69
4,4,0.0,1,70
2,4,0.0,3,71
2,3,0.0,1,72
2,2,0.0,1,73
2,3,0.0,1,74
2,2,0.0,1,75
2,3,0.0,1,76
2,7,0.0,3,77
2,4,0.0,3,78
2,3,0.0,1,79
2,4,0.0,1,80
2,7,0.0,1,81
2,3,0.0,1,82
2,3,0.0,1,83
2,3,0.0,1,84
2,7,0.0,1,85
2,3,0.0,1,86
2,3,0.0,1,87
2,4,0.0,1,88
7,3,0.0,1,89
7,3,0.0,1,90
7,3,0.0,1,91
7,6,0.0,1,92
7,3,0.0,1,93
7,3,0.0,1,94
7,3,0.0,1,95
7,3,0.0,1,96
7,3,0.0,1,97
7,3,0.0,1,98
7,3,0.0,1,99
7,3,0.0,1,100
7,6,0.0,3,101
2,3,0.0,1,102
2,7,0.0,1,103
7,2,0.0,1,104
7,1,0.0,3,105
7,1,0.0,3,106
7,1,0.0,3,107
7,1,0.0,3,108
7,1,0.0,3,109
7,1,0.0,3,110
7,3,0.0,3,111
7,3,0.0,3,112
7,3,0.0,3,113
7,3,0.0,3,114
7,3,0.0,3,115
7,3,0.0,3,116
7,3,0.0,1,117
7,3,0.0,1,118
7,3,0.0,3,119
7,3,0.0,3,120
7,3,0.0,3,121
7,3,0.0,3,122
7,3,0.0,3,123
7,3,0.0,3,124
7,3,0.0,3,125
7,3,0.0,3,126
7,3,0.0,3,127
7,3,0.0,3,128
7,3,0.0,3,129
7,3,0.0,3,130
7,3,0.0,3,131
7,3,0.0,3,132
7,3,0.0,3,133
7,3,0.0,3,134
7,3,0.0,3,135
7,3,0.0,3,136
7,3,0.0,3,137
7,3,0.0,3,138
7,3,0.0,3,139
7,3,0.0,3,140
7,3,0.0,3,141
7,3,0.0,3,142
7,3,0.0,3,143
7,3,0.0,3,144
7,3,0.0,3,145
7,3,0.0,3,146
7,3,0.0,3,147
7,3,0.0,3,148
7,3,0.0,3,149
7,3,0.0,3,150
7,3,0.0,3,151
7,3,0.0,3,152
7,3,0.0,3,153
7,3,0.0,3,154
7,3,0.0,3,155
7,7,0.0,3,156
7,3,0.0,3,157
7,3,0.0,3,158
7,3,0.0,3,159
7,3,0.0,3,160
7,3,0.0,3,161
7,3,0.0,3,162
7,3,0.0,3,163
7,3,0.0,3,164
7,3,0.0,3,165
7,3,0.0,3,166
7,3,0.0,3,167
7,3,0.0,3,168
7,3,0.0,3,169
7,3,0.0,3,170
7,1,0.0,3,171
7,3,0.0,3,172
7,3,0.0,3,173
7,3,0.0,3,174
7,3,0.0,3,175
7,3,0.0,3,176
7,3,0.0,3,177
1,5,0.0,1,178
7,7,0.0,1,179
7,7,0.0,3,180
6,6,0.0,1,181
4,4,0.0,1,182
4,2,0.0,1,183
4,1,0.0,1,184
4,4,0.0,3,185
4,4,0.0,1,186
4,4,0.0,1,187
4,1,0.0,1,188
4,4,0.0,1,189
4,4,0.0,1,190
4,4,0.0,1,191
4,4,0.0,1,192
4,4,0.0,1,193
4,4,0.0,1,194
4,1,0.0,1,195
4,4,0.0,1,196
4,4,0.0,1,197
4,4,0.0,1,198
4,5,0.0,1,199
4,4,0.0,1,200
4,5,0.0,1,201
4,4,0.0,1,202
4,4,0.0,3,203
4,4,0.0,3,204
4,4,0.0,1,205
4,4,0.0,1,206
4,5,0.0,1,207
4,4,0.0,1,208
4,4,0.0,1,209
4,4,0.0,1,210
4,4,0.0,1,211
4,4,0.0,1,212
4,4,0.0,1,213
4,4,0.0,1,214
4,4,0.0,1,215
4,4,0.0,1,216
4,4,0.0,1,217
4,4,0.0,1,218
4,5,0.0,1,219
4,3,0.0,3,220
4,3,0.0,3,221
4,4,0.0,1,222
7,7,0.0,3,223
7,7,0.0,1,224
7,2,0.0,1,225
7,2,0.0,1,226
7,6,0.0,1,227
7,2,0.0,1,228
1,4,0.0,1,229
1,4,0.0,1,230
1,1,0.0,1,231
1,1,0.0,1,232
1,1,0.0,1,233
1,1,0.0,1,234
1,1,0.0,1,235
7,2,0.0,1,236
7,2,0.0,1,237
7,3,0.0,1,238
7,2,0.0,1,239
7,2,0.0,1,240
